company_id,industry
936584,motor vehicle manufacturing
15357,higher education
14592418,outsourcing and offshoring consulting
1682895,facilities services
1118373,oil and gas
44960,packaging and containers manufacturing
3178,real estate
141230,food and beverage services
166716,hospitals and health care
229786,research services
35682513,staffing and recruiting
92489,it services and it consulting
5998,higher education
19784,pharmaceutical manufacturing
76943993,hospitals and health care
15233663,government administration
148877,medical equipment manufacturing
2816718,non-profit organizations
37268,government administration
40783,staffing and recruiting
16690,it services and it consulting
77318089,environmental services
102989,it services and it consulting
14352,staffing and recruiting
1311272,higher education
1281852,it services and it consulting
27193097,staffing and recruiting
3140,financial services
315817,environmental services
1072429,it services and it consulting
1552579,mining
1050905,hospitality
87145671,construction
75756975,financial services
79482021,it services and it consulting
11695207,software development
162536,banking
5140,it services and it consulting
1154342,investment banking
108854,it services and it consulting
2227,pharmaceutical manufacturing
84954827,it services and it consulting
11553420,staffing and recruiting
1415,it services and it consulting
78653,staffing and recruiting
38951,hospitality
1512982,hospitality
33269,wholesale
1431241,business consulting and services
35462987,software development
1687254,manufacturing
932766,hospitals and health care
10341654,packaging and containers manufacturing
19076380,staffing and recruiting
3248626,computer and network security
1257837,it services and it consulting
66932,newspaper publishing
35074,staffing and recruiting
25877,higher education
1539,software development
91369327,it services and it consulting
4411,public safety
67146614,civil engineering
13285,hospitals and health care
37857,motor vehicle manufacturing
33185140,staffing and recruiting
166632,higher education
5410,retail
35691529,travel arrangements
91449377,staffing and recruiting
50625,software development
163828,banking
737010,motor vehicle manufacturing
19241,staffing and recruiting
10464447,tobacco manufacturing
5697,government administration
2978540,"technology, information and internet"
15080647,biotechnology research
6738,hospitals and health care
65278424,staffing and recruiting
1621615,chemical manufacturing
3715929,hospitals and health care
21273,hospitals and health care
10378739,consumer services
101169414,staffing and recruiting
3223482,insurance
30324,it services and it consulting
81560130,non-profit organizations
1658,hospitals and health care
11700629,oil and gas
93783517,oil and gas
18506580,"technology, information and internet"
20167,government administration
7803213,wellness and fitness services
9626,education administration programs
6592912,staffing and recruiting
6560,paper and forest product manufacturing
74899775,medical equipment manufacturing
1002773,retail
68304603,food and beverage services
40598,biotechnology research
84647,financial services
279728,it services and it consulting
13769,truck transportation
6959,software development
150048,computers and electronics manufacturing
38489,software development
49151727,advertising services
16181713,computer and network security
86694680,software development
1828,entertainment providers
24597,hospitality
15400080,telecommunications
10540544,staffing and recruiting
1028156,staffing and recruiting
82333881,medical equipment manufacturing
167024,it services and it consulting
69502296,renewable energy semiconductor manufacturing
371279,staffing and recruiting
200685,it services and it consulting
7488,hospitals and health care
5085,truck transportation
8047188,it services and it consulting
16589,hospitals and health care
584081,defense and space manufacturing
1828593,architecture and planning
65633769,insurance
38104971,staffing and recruiting
90198358,hospitals and health care
211981,architecture and planning
11115,it services and it consulting
16182319,hospitals and health care
552958,banking
7032,retail
410291,travel arrangements
77610,it services and it consulting
586336,staffing and recruiting
1412,defense and space manufacturing
31815,hospitals and health care
3100,international affairs
1946139,primary and secondary education
97900,non-profit organizations
11333215,medical practices
786140,staffing and recruiting
27148871,real estate
30409,government administration
80443373,computer and network security
19028770,armed forces
236502,non-profit organizations
18476,it services and it consulting
148327,staffing and recruiting
2985341,defense and space manufacturing
2435986,truck transportation
162772,law practice
13880,law practice
3607929,it services and it consulting
166575,semiconductor manufacturing
206944,staffing and recruiting
2543692,it services and it consulting
101825647,food and beverage manufacturing
2960725,mental health care
1715746,retail luxury goods and jewelry
49893,hospitality
33307789,food and beverage services
604355,food and beverage manufacturing
11818084,hospitals and health care
11335633,motor vehicle manufacturing
100549190,airlines and aviation
52136,it services and it consulting
1981395,hospitals and health care
2494,financial services
2213,insurance
15602,medical equipment manufacturing
6104,hospitals and health care
621294,education administration programs
1841,medical equipment manufacturing
5300,it services and it consulting
14548615,financial services
122000,staffing and recruiting
2692976,"appliances, electrical, and electronics manufacturing"
309694,software development
1532867,hospitals and health care
91195265,software development
488281,staffing and recruiting
821065,it services and it consulting
1318,it services and it consulting
71901687,it services and it consulting
41688,hospitality
44666,renewable energy semiconductor manufacturing
54120,government administration
19258959,business consulting and services
2775,banking
37564,staffing and recruiting
788340,government administration
2936694,pharmaceutical manufacturing
25179038,staffing and recruiting
456015,staffing and recruiting
26793,it services and it consulting
105950,insurance
288851,packaging and containers manufacturing
2417568,aviation and aerospace component manufacturing
1394857,it services and it consulting
203391,hospitals and health care
2183652,automation machinery manufacturing
9089,it services and it consulting
91305,business consulting and services
42912,restaurants
93595157,advertising services
39237,insurance
38521,hospitals and health care
61257,law practice
96692,it services and it consulting
105843,civil engineering
7851,medical equipment manufacturing
60096806,law practice
11647,biotechnology research
18090,education administration programs
2415664,manufacturing
3603539,real estate
16227,staffing and recruiting
2513215,consumer services
126085,food and beverage services
51688908,retail
35529547,hospitals and health care
3337452,hospitality
5848,utilities
162750,financial services
2166352,staffing and recruiting
2857693,staffing and recruiting
10628617,staffing and recruiting
101721663,biotechnology research
95750606,it services and it consulting
5796151,staffing and recruiting
5999808,musicians
3090323,education administration programs
61716,public safety
98814,truck transportation
163901,law practice
6389974,primary and secondary education
17452,financial services
20366228,individual and family services
25370,higher education
1073,it services and it consulting
3815031,it services and it consulting
23743,architecture and planning
2276,biotechnology research
74615241,construction
1286891,staffing and recruiting
10150946,construction
3264,insurance
11854633,public relations and communications services
18268412,financial services
56670,facilities services
1384,aviation and aerospace component manufacturing
25291,hospitals and health care
420394,insurance
4823650,staffing and recruiting
3900,utilities
9519,business consulting and services
2337869,hospitals and health care
3267360,retail
79135,wellness and fitness services
70223,financial services
79809662,software development
5573,financial services
26234183,staffing and recruiting
10270811,real estate
15208770,wholesale
458639,manufacturing
62537397,hospitality
7260866,it services and it consulting
348976,human resources services
7965434,it services and it consulting
11685,food and beverage manufacturing
2203697,staffing and recruiting
5160,software development
25522,hospitals and health care
3525398,education administration programs
579539,manufacturing
142130,insurance
225930,construction
88641050,environmental services
3528,higher education
134078,retail
67537147,environmental services
165160,aviation and aerospace component manufacturing
30498,retail
7789,retail
3761392,research services
8511,pharmaceutical manufacturing
18334573,civic and social organizations
58323255,utilities
713845,education administration programs
116332,hospitality
98732349,staffing and recruiting
26981,it services and it consulting
62901,staffing and recruiting
9398436,real estate
4667,retail apparel and fashion
2498968,it services and it consulting
3221752,government administration
5274886,it services and it consulting
1668,freight and package transportation
3709686,law practice
16239,truck transportation
23383,civil engineering
3099966,banking
11925,"appliances, electrical, and electronics manufacturing"
82734,staffing and recruiting
2158708,mental health care
27012092,hospitality
1047174,hospitals and health care
4297,hospitals and health care
10619522,pharmaceutical manufacturing
6654085,financial services
1511215,civil engineering
16063763,business consulting and services
2532259,it services and it consulting
7795,retail
99502865,medical equipment manufacturing
211380,software development
963375,industrial machinery manufacturing
32478,food and beverage manufacturing
2056643,hospitals and health care
18008436,public safety
2788204,it services and it consulting
76545,financial services
5351,it services and it consulting
79488832,staffing and recruiting
27625,hospitals and health care
479294,non-profit organizations
